Category,"Sep. 30, 2023","Sep. 24, 2022"
Cash and cash equivalents,29965,23646
Marketable securities (current),31590,24658
"Accounts receivable, net",29508,28184
Vendor non-trade receivables,31477,32748
Inventories,6331,4946
Other current assets,14695,21223
Total current assets,143566,135405
Marketable securities (non-current),100544,120805
"Property, plant and equipment, net",43715,42117
Other non-current assets,64758,54428
Total non-current assets,209017,217350
Total assets,352583,352755
Accounts payable,62611,64115
Other current liabilities,58829,60845
Deferred revenue,8061,7912
Commercial paper,5985,9982
Term debt (current),9822,11128
Total current liabilities,145308,153982
Term debt (non-current),95281,98959
Other non-current liabilities,49848,49142
Total non-current liabilities,145129,148101
Total liabilities,290437,302083
"Common stock, shares issued",15550061,15943425
Common stock and additional paid-in capital,73812,64849
Accumulated deficit,-214,-3068
Accumulated other comprehensive loss,-11452,-11109
Total shareholders' equity,62146,50672
Total liabilities and shareholders' equity,352583,352755
