Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2009,24509000000.0,11482000000.0,235000000.0,655000000.0,902000000.0,1697000000.0,1364000000.0,12579000000.0,-913000000.0
2010,12948000000.0,14896000000.0,470000000.0,1129000000.0,207000000.0,3293000000.0,2960000000.0,16996000000.0,-3260000000.0
2011,7560000000.0,37288000000.0,328000000.0,1129000000.0,207000000.0,3903000000.0,2092000000.0,17000000000.0,-2514000000.0
2012,9913000000.0,45971000000.0,896000000.0,862000000.0,177000000.0,3903000000.0,2924000000.0,22001000000.0,-7829000000.0
2013,13806000000.0,37288000000.0,896000000.0,107000000.0,-41000000.0,5475000000.0,3664000000.0,37479000000.0,190000000.0
2014,19340000000.0,45971000000.0,1552000000.0,-15000000.0,-126000000.0,6842000000.0,3398000000.0,51308000000.0,-5467000000.0
2015,74452000000.0,54181000000.0,1552000000.0,178000000.0,-57000000.0,5475000000.0,886000000.0,36076000000.0,-7328000000.0
2016,43741000000.0,88265000000.0,2432000000.0,178000000.0,-241000000.0,16443000000.0,9706000000.0,79229000000.0,-6330000000.0
2017,43741000000.0,111934000000.0,3674000000.0,4186000000.0,513000000.0,12039000000.0,12039000000.0,114598000000.0,-6863000000.0
2018,177866000000.0,139156000000.0,4336000000.0,347000000.0,3027000000.0,30723000000.0,30723000000.0,145927000000.0,-6785000000.0
2019,87437000000.0,165536000000.0,5203000000.0,2983000000.0,3033000000.0,38514000000.0,38514000000.0,206473000000.0,-11272000000.0
2020,232887000000.0,139156000000.0,6668000000.0,5843000000.0,2535000000.0,66064000000.0,66064000000.0,143119000000.0,-17302000000.0
2021,280522000000.0,165536000000.0,8823000000.0,14541000000.0,11588000000.0,38514000000.0,38514000000.0,209347000000.0,-10306000000.0
2022,469822000000.0,233307000000.0,11891000000.0,12248000000.0,-2722000000.0,46752000000.0,46752000000.0,396301000000.0,16654000000.0
2023,574785000000.0,272344000000.0,11816000000.0,24879000000.0,33364000000.0,46327000000.0,46327000000.0,511336000000.0,-6205000000.0
2024,637959000000.0,326288000000.0,11816000000.0,68593000000.0,59248000000.0,46752000000.0,46752000000.0,499879000000.0,-20632000000.0
